APN,Longitude,Latitude,Name,Address,Community,ConstructionType,HousingType,HCIDLA_Funded,Leverage,TECB,TDC,Photo
5535013015,-118.3119156,34.08499882,Queen Apartments (Site 2),5217 W Marathon St Ca 90038,HOLLYWOOD,Rehab,Family,0,10271751,7300000,17571751,http://hcidapp.lacity.org/mpphotos/07-117237/Photo/Website%20Site2/Queens%20Apt%20(Site2)%205217%20Marathon.png
5537023034,-118.3037592,34.08839946,Harvard Circle,"952 N Harvard Blvd 1-40  Los Angeles, Ca 90029",EAST HOLLYWOOD,New Construction,Family,6785617,16436770,0,23222387,http://hcidapp.lacity.org/mpphotos/070159/Photo/Website/CD%2013%20-%20Harvard%20Circle.JPG
5520006015,-118.2939008,34.07944125,Rosewood Gardens,502 N Berendo St Ca 90004,EAST HOLLYWOOD,New Construction,Seniors,4123640,18371699,0,22495339,http://hcidapp.lacity.org/mpphotos/070167/Photo/Website/CD%2013%20-%20Rosewood%20Gardens.JPG
5537020038,-118.3049877,34.08920526,Swansea Park Senior Apts.,1015 N Kingsley Dr Ca 90029,EAST HOLLYWOOD,Rehab,Seniors,3600000,16208353,0,19808353,http://hcidapp.lacity.org/mpphotos/080054/Photo/Website/080054.jpg
5533017010,-118.3268967,34.0902486,Step Up On Vine,"1057 N Vine St  Los Angeles, Ca 90038",HOLLYWOOD,Rehab,Special Needs / Chronically Homeless,334951,14811113,0,15146064,http://hcidapp.lacity.org/mpphotos/11-118677/Photo/Website/11-118677.JPG
5536016005,-118.313684,34.08833677,Hollywoodland (Site 3),977 N Wilton Pl Ca 90038,HOLLYWOOD,Acquisition + Rehab,Seniors,0,0,10500000,10500000,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5535012016,-118.3106371,34.08499824,Hollywoodland (Site 4),5155 W Marathon St Ca 90038,HOLLYWOOD,Acquisition + Rehab,Seniors,0,0,10500000,10500000,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5535012015,-118.3108352,34.08499868,Hollywoodland (Site 5),5169 W Marathon St Ca 90038,HOLLYWOOD,Acquisition + Rehab,Seniors,0,0,10500000,10500000,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
2421011046,-118.370079,34.15950027,Vineland Avenue Senior Housing,4900 N Vineland Ave 1-82 Ca 91601,NORTH HOLLYWOOD,New Construction,Seniors,1200212,19057134,0,20257346,http://hcidapp.lacity.org/mpphotos/09-117383/Photo/Website/09-117383.jpg
2350006042,-118.3754243,34.1706437,Noho Senior Villas,"5525 N Klump Ave 1-49  North Hollywood, Ca 91601",NORTH HOLLYWOOD,New Construction,Seniors,4932825,12092852,0,17025677,http://hcidapp.lacity.org/mpphotos/10-117669/Photo/Website/10-117669.JPG
2353004015,-118.3756263,34.1637075,Eecbg - Klump Sro,5120 N Klump Ave Ca 91601,NORTH HOLLYWOOD,Rehab,Special Needs,148497,904729,0,1053226,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
2322020066,-118.3894197,34.18884179,Hamlin Estates,11735 W Hamlin St Ca 91606,NORTH HOLLYWOOD,Acquisition + Rehab,Family,0,2936450,3211916,6148366,http://hcidapp.lacity.org/mpphotos/11-118721/Photo/Website/Hamlin150_1749.JPG
2654010001,-118.4653371,34.2298524,Columbus Transitional Hsg & Penny Lane,15256 W Acre St Ca 91343,NORTH HILLS,Rehab,Special Needs,532500,666519,0,1199019,http://hcidapp.lacity.org/mpphotos/010139/Photo/Website/CD%207%20-%20Columbus%20Transitional%2015257%20acre%20-%20010139.JPG
2654009012,-118.4653258,34.23103396,Columbus Transitional Hsg & Penny Lane (Site 2),15259 W Gresham St Ca 91343,NORTH HILLS,Rehab,Special Needs,532500,666519,0,1199019,http://hcidapp.lacity.org/mpphotos/010139/Photo/Website%20Site2/Columbust%20Transition%20Site%202.png
2654002169,-118.4709018,34.23538238,Woodland Terrace,15532 W Nordhoff St Ca 91343,NORTH HILLS,New Construction,Special Needs,1758184,10482585,0,12240769,http://hcidapp.lacity.org/mpphotos/040071/Photo/Website/CD%207%20-%20Woodland%20Terrace.JPG
